id,price,min_price,max_price,cats,dogs,pet_policy_text,beds,min_beds,max_beds,baths,min_baths,max_baths,garage,house_type,sqft,year_built,address,postal_code,state,city,pictures,pictures1,lat,lon,county
3434393351,,1600.0,1600.0,True,True,,,2,2,,2.0,2.0,,apartment,,1965.0,6 E Spring St,14221,NY,Williamsville,https://ar.rdcpix.com/d251956848e333e66927aff5be2f283dc-f1323640610s.jpg,https://ar.rdcpix.com/d251956848e333e66927aff5be2f283dc-f2494601206s.jpg,42.96368,-78.74669,Erie
3543767608,,2000.0,3650.0,True,True,,,0,2,,1.0,2.0,,apartment,,2019.0,20 Burling Ln,10801,NY,New Rochelle,https://ar.rdcpix.com/b88dd57a6525891f95591bf0a47e31bac-f3484096352s.jpg,https://ar.rdcpix.com/b88dd57a6525891f95591bf0a47e31bac-f120593065s.jpg,40.91327,-73.78487,Westchester
3526378262,,1050.0,1050.0,True,True,,,2,2,,1.0,1.0,,townhomes,,1948.0,119 Arbour Ln,14220,NY,Buffalo,https://ar.rdcpix.com/3b4c77ddfe04088d314a81cb541b8b7cc-f3784978112s.jpg,https://ar.rdcpix.com/3b4c77ddfe04088d314a81cb541b8b7cc-f3933073702s.jpg,42.83705,-78.81059,Erie
3481759223,,895.0,945.0,True,True,Maximum 2 pets per apartment/Maximum 2 pets for apartment,,2,2,,1.0,1.5,,apartment,,1967.0,224 Palmer St,13601,NY,Watertown,https://ar.rdcpix.com/a990e88fa15db987c5bfc1ccd29db83fc-f2137419057s.jpg,https://ar.rdcpix.com/a990e88fa15db987c5bfc1ccd29db83fc-f4151339350s.jpg,43.982134,-75.932876,Jefferson
3537257044,,990.0,1315.0,False,False,,,1,2,,1.0,2.0,,apartment,,2000.0,3774 Route 31,13090,NY,Liverpool,https://ar.rdcpix.com/066fb52e1976e8cdad7783552ab6b4aec-f2791838175s.jpg,https://ar.rdcpix.com/066fb52e1976e8cdad7783552ab6b4aec-f697887892s.jpg,43.18185,-76.25204,Onondaga
3538449554,,1995.0,1995.0,True,True,,,2,2,,2.0,2.0,,apartment,,2013.0,220 S Warren St,13202,NY,Syracuse,https://ar.rdcpix.com/070cfbc165b0c78fb4a389bf95b011ecc-f2919770685s.jpg,https://ar.rdcpix.com/070cfbc165b0c78fb4a389bf95b011ecc-f2777678306s.jpg,43.0489,-76.15107,Onondaga
3462969267,,1155.0,1685.0,True,False,,,1,3,,1.0,2.0,,apartment,,2015.0,6 Ridgeway Ln,12180,NY,Troy,https://ar.rdcpix.com/27d07ae7eee527bfbd60a00f71e4fdb7c-f99503475s.jpg,https://ar.rdcpix.com/27d07ae7eee527bfbd60a00f71e4fdb7c-f1171998840s.jpg,42.74162,-73.63618,Rensselaer
3467579636,,1625.0,1905.0,True,False,,,1,2,,1.0,1.0,,apartment,,1971.0,51 Rockwood Cir,10941,NY,Middletown,https://ar.rdcpix.com/362e5520dec7e486d310ea4a482a2a3ec-f1318670210s.jpg,https://ar.rdcpix.com/362e5520dec7e486d310ea4a482a2a3ec-f4020714495s.jpg,41.47419,-74.37384,Orange
3514040362,,1425.0,2599.0,True,True,Two pets per unit./Restrictions apply. Please call for details. Maximum 2 pets per unit. Second dog needs Management approval.,,1,2,,1.0,2.0,,apartment,,2005.0,1 Forrest Pointe Dr,12061,NY,East Greenbush,https://ar.rdcpix.com/549b2c30cc1667532670724b442f3762c-f2715787424s.jpg,https://ar.rdcpix.com/549b2c30cc1667532670724b442f3762c-f578130104s.jpg,42.60799,-73.71581,Rensselaer
3934933258,,2250.0,3195.0,True,True,Cats welcome. Maximum two pets per apartment. Monthly fees: $50 per pet. Non-refundable fee: $550 per pet. Breed restrictions and other limitations apply. Other restrictions may apply./Dogs welcome. Maximum two pets per apartment. Monthly fees: $50 per pet. Non-refundable fee: $550 per pet. Breed restrictions and other limitations apply. Weight limit: 50 lbs. or under.,,0,2,,1.0,1.0,,apartment,,1949.0,425 Newbridge Rd,11554,NY,East Meadow,https://ar.rdcpix.com/c8c3a5055ff350c20b779434a725313bc-f1006685201s.jpg,https://ar.rdcpix.com/c8c3a5055ff350c20b779434a725313bc-f3679975009s.jpg,40.713931,-73.543733,Nassau
3982186687,,1550.0,2459.0,True,True,All animals are required to be registered through PetScreening program. Size restrictions may apply. Please call our Leasing Office for complete Pet Policy information.,,1,3,,1.0,2.5,,apartment,,2012.0,100 Waters View Cir,12047,NY,Cohoes,https://ar.rdcpix.com/d2a3554484737b69d493ab4c7be1bc02c-f1800125568s.jpg,https://ar.rdcpix.com/d2a3554484737b69d493ab4c7be1bc02c-f1593441017s.jpg,42.776913,-73.683722,Albany
3637959189,,2400.0,2600.0,True,True,2 pets per unit,,1,2,,1.0,1.0,,apartment,,2011.0,101-824 Providence Dr,11752,NY,Islip Terrace,https://ar.rdcpix.com/30a05ab7a48cbb2ac4d858e6894d3303c-f512513936s.jpg,https://ar.rdcpix.com/30a05ab7a48cbb2ac4d858e6894d3303c-f277836468s.jpg,40.7491,-73.16921,Suffolk
3605761415,,1980.0,2030.0,True,True,Maximum Two Pets per Home; All Pets Subject to Management Approval./Maximum Two Pets per Home; Breed Restrictions Apply; All Pets Subject to Management Approval.,,1,2,,1.0,2.0,,apartment,,2016.0,130 Saddlestone Pl,13031,NY,Camillus,https://ar.rdcpix.com/3f0e8d16da04529556528d238768d4f7c-f3740452723s.jpg,https://ar.rdcpix.com/3f0e8d16da04529556528d238768d4f7c-f3630618645s.jpg,43.05629,-76.27558,Onondaga
3625251503,,2000.0,2475.0,True,True,"2 pets per unit/2 pets per unit, 25lbs limit",,1,2,,1.0,1.0,,apartment,,1998.0,165 Meredith Ln,11769,NY,Oakdale,https://ar.rdcpix.com/de6b6dfba2307480d374ba4227e6f2a8c-f2145520177s.jpg,https://ar.rdcpix.com/de6b6dfba2307480d374ba4227e6f2a8c-f303776221s.jpg,40.74772,-73.12893,Suffolk
3937893684,,1695.0,2485.0,True,True,Maximum Two Pets per Home; All Pets Subject to Management Approval./Maximum Two Pets per Home; Breed Restrictions Apply; All Pets Subject to Management Approval.,,1,4,,1.0,3.0,,apartment,,2014.0,155 Canal Landing Blvd,14626,NY,Rochester,https://ar.rdcpix.com/cbd820c2ed516f940e14a125ffe083fec-f1732009668s.jpg,https://ar.rdcpix.com/cbd820c2ed516f940e14a125ffe083fec-f2463862445s.jpg,43.178252,-77.688302,Monroe
3689193320,,1775.0,1995.0,True,True,,,1,2,,1.0,1.5,,apartment,,1970.0,5 Cinema Dr,14850,NY,Ithaca,https://ar.rdcpix.com/8b82fe86f2c37b07adc05ba4fc0904adc-f1916715154s.jpg,https://ar.rdcpix.com/8b82fe86f2c37b07adc05ba4fc0904adc-f3655460980s.jpg,42.478813,-76.477204,Tompkins
3605612351,,1660.0,2680.0,True,True,All animals are required to be registered through PetScreening program. Size restrictions may apply. Please call our Leasing Office for complete Pet Policy information.,,1,2,,1.0,2.0,,apartment,,2015.0,6 Delaware Ave,12047,NY,Cohoes,https://ar.rdcpix.com/dfd88a65ffae77c8480872f961511f00c-f881535778s.jpg,https://ar.rdcpix.com/dfd88a65ffae77c8480872f961511f00c-f3698375862s.jpg,42.766629,-73.685919,Albany
3608146435,,1775.0,2400.0,True,True,,,1,2,,1.0,2.0,,apartment,,2015.0,89 St Agnes Hwy,12047,NY,Cohoes,https://ar.rdcpix.com/6a6d81163170fea7f9cdd095e63df21ec-f2470590326s.jpg,https://ar.rdcpix.com/6a6d81163170fea7f9cdd095e63df21ec-f4185576640s.jpg,42.765457,-73.725009,Albany
3592012055,,1600.0,1635.0,True,True,Maximum Two Pets per Home; All Pets Subject to Management Approval./Maximum Two Pets per Home; Breed Restrictions Apply; All Pets Subject to Management Approval. Dog Interview Required.,,1,4,,1.0,3.0,,apartment,,1965.0,2470 East Ave,14610,NY,Rochester,https://ar.rdcpix.com/bc7e78bcec67f4d9a1a414eb65511fbec-f902374920s.jpg,https://ar.rdcpix.com/bc7e78bcec67f4d9a1a414eb65511fbec-f3772459109s.jpg,43.138591,-77.539629,Monroe
3623574535,,840.0,1160.0,True,False,,,1,2,,1.0,2.0,,apartment,,,70 Knollbrook Rd,14610,NY,Rochester,https://ar.rdcpix.com/4c667be8c10972656c126372edccdc49c-f1237601636s.jpg,https://ar.rdcpix.com/4c667be8c10972656c126372edccdc49c-f3750861747s.jpg,43.1605,-77.53107,Monroe
3555023543,,1025.0,1025.0,True,True,,,0,0,,1.0,1.0,,apartment,,1920.0,155 Saint Paul St Apt 169,14604,NY,Rochester,https://ar.rdcpix.com/c2a2c061ffcc63c20e90c4ea3f104f2fc-f3084436762s.jpg,https://ar.rdcpix.com/c2a2c061ffcc63c20e90c4ea3f104f2fc-f414222625s.jpg,43.15993,-77.6104,Monroe
3609786136,,1265.0,1360.0,True,False,,,1,2,,1.0,2.0,,apartment,,1970.0,150 Troy Schenectady Rd,12189,NY,Watervliet,https://ar.rdcpix.com/3d8937dd914825c6b1ba26428984b2cdc-f890560514s.jpg,https://ar.rdcpix.com/3d8937dd914825c6b1ba26428984b2cdc-f2903732760s.jpg,42.73562,-73.71573,Albany
3600544183,,1235.0,1365.0,False,False,,,1,2,,1.0,1.0,,apartment,,1973.0,1-5 Denise Dr,12110,NY,Latham,https://ar.rdcpix.com/3267d1db3a20821716579deac33ce2e4c-f3460706052s.jpg,https://ar.rdcpix.com/3267d1db3a20821716579deac33ce2e4c-f2741926015s.jpg,42.73552,-73.76611,Albany
4038506685,,1155.0,1520.0,False,False,,,0,2,,1.0,1.5,,apartment,,1974.0,12 California Ave,12205,NY,Albany,https://ar.rdcpix.com/41a9072c60678328c24fa99c35507350c-f675167855s.jpg,https://ar.rdcpix.com/41a9072c60678328c24fa99c35507350c-f940173932s.jpg,42.703759,-73.813956,Albany
3717363407,,995.0,1195.0,False,False,,,1,2,,1.0,1.0,,apartment,,1940.0,1108 E Genesee St,13210,NY,Syracuse,https://ar.rdcpix.com/3a1a433ec6a393ef313fecb8e78f5d0cc-f3073330660s.jpg,https://ar.rdcpix.com/3a1a433ec6a393ef313fecb8e78f5d0cc-f1195606886s.jpg,43.046448,-76.133362,Onondaga
3626369481,,2050.0,2425.0,False,False,,,1,2,,1.0,1.0,,apartment,,1958.0,413-429 E Main St,11706,NY,Bay Shore,https://ar.rdcpix.com/9258487aa098743fbba32eae052ba028c-f2502860778s.jpg,https://ar.rdcpix.com/9258487aa098743fbba32eae052ba028c-f135686273s.jpg,40.72797,-73.23232,Suffolk
3650070620,,1780.0,1780.0,True,False,,,1,1,,1.0,1.0,,apartment,,1962.0,580-610 Willis Ave,11596,NY,Williston Park,https://ar.rdcpix.com/a3cc824a8226ff53b20b3cfc8cc90269c-f3635164400s.jpg,https://ar.rdcpix.com/a3cc824a8226ff53b20b3cfc8cc90269c-f782336897s.jpg,40.76111,-73.64568,Nassau
3954997162,,610.0,810.0,True,False,,,0,2,,1.0,1.0,,apartment,,1906.0,206 Franklin St,13601,NY,Watertown,https://ar.rdcpix.com/d55c092bdfb578f41b1ac2572426d7c8c-f2977654159s.jpg,https://ar.rdcpix.com/d55c092bdfb578f41b1ac2572426d7c8c-f2110968202s.jpg,43.97341,-75.90874,Jefferson
3009882479,,2309.0,2309.0,True,True,,,1,1,,1.0,1.0,,apartment,,,29 Buffalo Ave,11751,NY,Islip,https://ar.rdcpix.com/cd53521ea8c117604a858847429fe963c-f2248053209s.jpg,https://ar.rdcpix.com/cd53521ea8c117604a858847429fe963c-f2464814801s.jpg,40.73418,-73.22658,Suffolk
3041262665,,3500.0,3500.0,True,True,,,1,1,,1.0,1.0,,apartment,,2017.0,480 Bedford Rd,10514,NY,Chappaqua,https://ar.rdcpix.com/df2b91f9f47eb69c044ac8fb26f40fddc-f2732361749s.jpg,https://ar.rdcpix.com/df2b91f9f47eb69c044ac8fb26f40fddc-f2074404958s.jpg,41.17951,-73.75585,Westchester
3069431195,,3545.0,4245.0,True,True,,,2,3,,2.0,2.5,,apartment,,2014.0,225 Wading River Hollow Rd,11961,NY,Ridge,https://ar.rdcpix.com/e3e11cb8776d3f112dd903afb676c306c-f746106327s.jpg,https://ar.rdcpix.com/e3e11cb8776d3f112dd903afb676c306c-f3269247788s.jpg,40.88605,-72.917005,Suffolk
3028423462,,1300.0,1650.0,False,False,,,2,3,,2.0,2.0,,apartment,,2014.0,721 N Clinton St,13204,NY,Syracuse,https://ar.rdcpix.com/838d001cba3db428edea0130933107d1c-f468072507s.jpg,https://ar.rdcpix.com/838d001cba3db428edea0130933107d1c-f42489934s.jpg,43.059893,-76.158492,Onondaga
3088654550,,3085.0,4015.0,True,True,,,2,2,,2.0,2.0,,apartment,,2004.0,300 Village Green Dr,11776,NY,Port Jefferson Station,https://ar.rdcpix.com/8b66aeffb13c41d6dd938b997a406058c-f4086657851s.jpg,https://ar.rdcpix.com/8b66aeffb13c41d6dd938b997a406058c-f1670835097s.jpg,40.90761,-73.06479,Suffolk
3327644065,,1725.0,1875.0,False,False,,,2,2,,2.0,2.0,,apartment,,2011.0,448 Elmwood Ave,14222,NY,Buffalo,https://ar.rdcpix.com/a15e112c5bfb27adba383b1b89918df3c-f2698528399s.jpg,https://ar.rdcpix.com/a15e112c5bfb27adba383b1b89918df3c-f4003000930s.jpg,42.90913,-78.87741,Erie
3285935071,,750.0,1025.0,True,True,$25.00 per month per pet,,0,3,,1.0,1.5,,apartment,,1966.0,30-40 Midland Dr,13815,NY,Norwich,https://ar.rdcpix.com/c6d43dc12ae79df951068f44eb250e4bc-f1119825198s.jpg,https://ar.rdcpix.com/c6d43dc12ae79df951068f44eb250e4bc-f20787391s.jpg,42.52881,-75.51485,Chenango
